MariaDB 1 entry,Try 1 indexed,Try 2 indexed,Try 3 indexed,Avrage indexed,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,023","0,02","0,019","0,021","0,02","1,31","1,35","1,15","1,19","0,98","1,31","1,04","1,46","1,5","1,07","1,07","1,13","0,89","1,46","0,98","1,31","1,47","1,54","1,47","1,57","1,08"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"0,018","0,236","0,558","0,379","0,814","0,352","0,814",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"1,76","1,42","1,79","1,55","1,49","1,83","1,21","1,19","1,27","1,39","1,22","2,04","1,6","1,14","1,6","1,74","1,71","2,02","1,6","1,31",01.36,"1,44","1,5","1,78","1,63",01.19
,"3,77","3,61","3,76","4,2","3,66","3,92","2,24","3,35","3,71","3,03","3,23","3,37","3,81","3,16","3,95","2,73","3,84","3,5","3,59","3,82","3,49","3,34","2,98","3,26","3,6","3,34"
,"4,2","3,79","3,33","3,92","3,36","3,88","3,92","4,3","3,78","4,42","2,98","3,52","3,15","3,83","3,59","3,87","4,04","3,72","3,64","3,86","3,3","3,14","3,97","3,8","3,43","3,82"
,"3,02","2,25","2,71","2,24","2,36","2,45","3,38","2,99","2,66","2,22","2,93","2,95","2,27","2,56","3,76","2,87","2,14","2,96","3,08","2,12","2,86","2,77","3,39","2,75","3,14","3,38"
,"0,92","0,95","0,87","0,78","1,07","0,83","1,08","0,93","0,71","1,01","0,93","1,16","0,89","0,84","0,98","0,89","0,95","0,94","0,88","0,97",1,"0,61","0,81","1,1","0,8",1
,"0,76","0,66","0,63","0,62","0,71","0,72","0,49","0,74","0,66","0,7","1,37","0,63","0,74","0,64","0,71","0,76","0,67","0,64","0,55","0,85","0,77","0,7","0,82","0,8","0,76","0,62"
